Date : 2021-03-26 16:31:48
Directory : /home/cxf/Desktop/WebServer
Total : 149 files,  8601 codes, 1861 comments, 2050 blanks, all 12512 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/cxf/Desktop/WebServer/base/LogFile.cpp                                                                  | C++          |         70 |         16 |         11 |         97 |
| /home/cxf/Desktop/WebServer/base/LogFile.h                                                                    | C++          |         38 |         10 |          8 |         56 |
| /home/cxf/Desktop/WebServer/base/LogStream.cpp                                                                | C++          |        126 |         11 |         28 |        165 |
| /home/cxf/Desktop/WebServer/base/LogStream.h                                                                  | C++          |         88 |         19 |         19 |        126 |
| /home/cxf/Desktop/WebServer/base/Logging.cpp                                                                  | C++          |        123 |         22 |         19 |        164 |
| /home/cxf/Desktop/WebServer/base/Logging.h                                                                    | C++          |         90 |         11 |         13 |        114 |
| /home/cxf/Desktop/WebServer/base/Mutex.cpp                                                                    | C++          |         22 |          9 |          4 |         35 |
| /home/cxf/Desktop/WebServer/base/Mutex.h                                                                      | C++          |         24 |         13 |          6 |         43 |
| /home/cxf/Desktop/WebServer/base/Singleton.h                                                                  | C++          |         27 |         46 |          4 |         77 |
| /home/cxf/Desktop/WebServer/base/Thread.cpp                                                                   | C++          |         51 |         78 |         14 |        143 |
| /home/cxf/Desktop/WebServer/base/Thread.h                                                                     | C++          |         36 |         33 |         12 |         81 |
| /home/cxf/Desktop/WebServer/base/Threadpool.cpp                                                               | C++          |         70 |         13 |         11 |         94 |
| /home/cxf/Desktop/WebServer/base/Threadpool.h                                                                 | C++          |         31 |          8 |          7 |         46 |
| /home/cxf/Desktop/WebServer/base/Timestamp.cpp                                                                | C++          |         46 |         13 |         12 |         71 |
| /home/cxf/Desktop/WebServer/base/Timestamp.h                                                                  | C++          |         60 |         38 |         20 |        118 |
| /home/cxf/Desktop/WebServer/base/rwn.cpp                                                                      | C++          |         60 |         10 |          9 |         79 |
| /home/cxf/Desktop/WebServer/base/rwn.h                                                                        | C++          |          8 |          8 |          2 |         18 |
| /home/cxf/Desktop/WebServer/base/test/AppendFile_test.cpp                                                     | C++          |         19 |          9 |          5 |         33 |
| /home/cxf/Desktop/WebServer/base/test/AsyncLog_test.cpp                                                       | C++          |         35 |         10 |          6 |         51 |
| /home/cxf/Desktop/WebServer/base/test/BlockQueue_test.cpp                                                     | C++          |         78 |          9 |         13 |        100 |
| /home/cxf/Desktop/WebServer/base/test/ConditionLatch_test.cpp                                                 | C++          |         41 |         15 |          4 |         60 |
| /home/cxf/Desktop/WebServer/base/test/Condition_test.cpp                                                      | C++          |         50 |         16 |          4 |         70 |
| /home/cxf/Desktop/WebServer/base/test/FixedBuffer_test.cpp                                                    | C++          |         41 |         18 |         13 |         72 |
| /home/cxf/Desktop/WebServer/base/test/LogFile_test.cpp                                                        | C++          |         41 |          9 |          6 |         56 |
| /home/cxf/Desktop/WebServer/base/test/LogStream_test.cpp                                                      | C++          |        186 |          9 |         48 |        243 |
| /home/cxf/Desktop/WebServer/base/test/Logging_test.cpp                                                        | C++          |         28 |         12 |          6 |         46 |
| /home/cxf/Desktop/WebServer/base/test/Mutex_test.cpp                                                          | C++          |         50 |         11 |          5 |         66 |
| /home/cxf/Desktop/WebServer/base/test/Singleton_test.cpp                                                      | C++          |         45 |         10 |          1 |         56 |
| /home/cxf/Desktop/WebServer/base/test/Thread_test.cpp                                                         | C++          |         43 |          8 |         13 |         64 |
| /home/cxf/Desktop/WebServer/base/test/Threadpool_test.cpp                                                     | C++          |         22 |         12 |          6 |         40 |
| /home/cxf/Desktop/WebServer/base/test/Timestamp_test.cpp                                                      | C++          |         56 |          9 |         10 |         75 |
| /home/cxf/Desktop/WebServer/base/test/rwn_test.cpp                                                            | C++          |         18 |          8 |          2 |         28 |
| /home/cxf/Desktop/WebServer/build.sh                                                                          | Shell Script |         14 |         12 |          6 |         32 |
| /home/cxf/Desktop/WebServer/build/CMakeCache.txt                                                              | CMake Cache  |        308 |          0 |         68 |        376 |
| /home/cxf/Desktop/WebServer/build/CMakeFiles/3.19.0/CMakeCCompiler.cmake                                      | CMake        |         60 |          0 |         18 |         78 |
| /home/cxf/Desktop/WebServer/build/CMakeFiles/3.19.0/CMakeCXXCompiler.cmake                                    | CMake        |         70 |          0 |         20 |         90 |
| /home/cxf/Desktop/WebServer/build/CMakeFiles/3.19.0/CMakeSystem.cmake                                         | CMake        |         10 |          0 |          6 |         16 |
| /home/cxf/Desktop/WebServer/build/CMakeFiles/3.19.0/CompilerIdC/CMakeCCompilerId.c                            | C            |        547 |         52 |        123 |        722 |
| /home/cxf/Desktop/WebServer/build/CMakeFiles/3.19.0/CompilerIdCXX/CMakeCXXCompilerId.cpp                      | C++          |        536 |         54 |        121 |        711 |
| /home/cxf/Desktop/WebServer/build/CMakeFiles/CMakeDirectoryInformation.cmake                                  | CMake        |         12 |          0 |          5 |         17 |
| /home/cxf/Desktop/WebServer/build/CMakeFiles/CMakeOutput.log                                                  | Log          |        393 |          0 |         31 |        424 |
| /home/cxf/Desktop/WebServer/build/CMakeFiles/Makefile.cmake                                                   | CMake        |         71 |          0 |          6 |         77 |
| /home/cxf/Desktop/WebServer/build/CTestTestfile.cmake                                                         | CMake        |          8 |          0 |          1 |          9 |
| /home/cxf/Desktop/WebServer/build/Makefile                                                                    | Makefile     |        235 |        127 |        120 |        482 |
| /home/cxf/Desktop/WebServer/build/base/CMakeFiles/CMakeDirectoryInformation.cmake                             | CMake        |         12 |          0 |          5 |         17 |
| /home/cxf/Desktop/WebServer/build/base/CMakeFiles/base.dir/DependInfo.cmake                                   | CMake        |         27 |          0 |          4 |         31 |
| /home/cxf/Desktop/WebServer/build/base/CMakeFiles/base.dir/cmake_clean.cmake                                  | CMake        |         18 |          0 |          2 |         20 |
| /home/cxf/Desktop/WebServer/build/base/CMakeFiles/base.dir/cmake_clean_target.cmake                           | CMake        |          3 |          0 |          1 |          4 |
| /home/cxf/Desktop/WebServer/build/base/CTestTestfile.cmake                                                    | CMake        |          7 |          0 |          1 |          8 |
| /home/cxf/Desktop/WebServer/build/base/Makefile                                                               | Makefile     |        291 |         84 |        157 |        532 |
| /home/cxf/Desktop/WebServer/build/base/cmake_install.cmake                                                    | CMake        |         64 |          0 |         12 |         76 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/AppendFile.dir/DependInfo.cmake                        | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/AppendFile.dir/cmake_clean.cmake                       | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/BlockQueue.dir/DependInfo.cmake                        | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/BlockQueue.dir/cmake_clean.cmake                       | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/CMakeDirectoryInformation.cmake                        | CMake        |         12 |          0 |          5 |         17 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Condition.dir/DependInfo.cmake                         | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Condition.dir/cmake_clean.cmake                        | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/FixedBuffer.dir/DependInfo.cmake                       | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/FixedBuffer.dir/cmake_clean.cmake                      | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/LogFile.dir/DependInfo.cmake                           | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/LogFile.dir/cmake_clean.cmake                          | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Logging.dir/DependInfo.cmake                           | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Logging.dir/cmake_clean.cmake                          | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Mutex.dir/DependInfo.cmake                             | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Mutex.dir/cmake_clean.cmake                            | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Singleton.dir/DependInfo.cmake                         | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Singleton.dir/cmake_clean.cmake                        | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Thread.dir/DependInfo.cmake                            | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Thread.dir/cmake_clean.cmake                           | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Threadpool.dir/DependInfo.cmake                        | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Threadpool.dir/cmake_clean.cmake                       | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Timestamp.dir/DependInfo.cmake                         | CMake        |         19 |          0 |          4 |         23 |
| /home/cxf/Desktop/WebServer/build/base/test/CMakeFiles/Timestamp.dir/cmake_clean.cmake                        | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/base/test/CTestTestfile.cmake                                               | CMake        |          6 |          0 |          1 |          7 |
| /home/cxf/Desktop/WebServer/build/base/test/Makefile                                                          | Makefile     |        399 |        117 |        206 |        722 |
| /home/cxf/Desktop/WebServer/build/base/test/cmake_install.cmake                                               | CMake        |         37 |          0 |          8 |         45 |
| /home/cxf/Desktop/WebServer/build/cmake_install.cmake                                                         | CMake        |         51 |          0 |         11 |         62 |
| /home/cxf/Desktop/WebServer/build/compile_commands.json                                                       | JSON         |        197 |          0 |          0 |        197 |
| /home/cxf/Desktop/WebServer/build/net/CMakeFiles/CMakeDirectoryInformation.cmake                              | CMake        |         12 |          0 |          5 |         17 |
| /home/cxf/Desktop/WebServer/build/net/CMakeFiles/net.dir/DependInfo.cmake                                     | CMake        |         30 |          0 |          4 |         34 |
| /home/cxf/Desktop/WebServer/build/net/CMakeFiles/net.dir/cmake_clean.cmake                                    | CMake        |         20 |          0 |          2 |         22 |
| /home/cxf/Desktop/WebServer/build/net/CMakeFiles/net.dir/cmake_clean_target.cmake                             | CMake        |          3 |          0 |          1 |          4 |
| /home/cxf/Desktop/WebServer/build/net/CTestTestfile.cmake                                                     | CMake        |          7 |          0 |          1 |          8 |
| /home/cxf/Desktop/WebServer/build/net/Makefile                                                                | Makefile     |        327 |         90 |        175 |        592 |
| /home/cxf/Desktop/WebServer/build/net/cmake_install.cmake                                                     | CMake        |         60 |          0 |         12 |         72 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/Acceptor_test.dir/DependInfo.cmake                      | CMake        |         20 |          0 |          4 |         24 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/Acceptor_test.dir/cmake_clean.cmake                     | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/CMakeDirectoryInformation.cmake                         | CMake        |         12 |          0 |          5 |         17 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/EventLoop_test.dir/DependInfo.cmake                     | CMake        |         20 |          0 |          4 |         24 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/EventLoop_test.dir/cmake_clean.cmake                    | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/Reactor02_test.dir/DependInfo.cmake                     | CMake        |         20 |          0 |          4 |         24 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/Reactor02_test.dir/cmake_clean.cmake                    | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/Socket_test.dir/DependInfo.cmake                        | CMake        |         20 |          0 |          4 |         24 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/Socket_test.dir/cmake_clean.cmake                       | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/TcpServer_test03_Buffer_send.dir/DependInfo.cmake       | CMake        |         20 |          0 |          4 |         24 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/TcpServer_test03_Buffer_send.dir/cmake_clean.cmake      | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/TcpServer_test04_pollout_shutdown.dir/DependInfo.cmake  | CMake        |         20 |          0 |          4 |         24 |
| /home/cxf/Desktop/WebServer/build/net/test/CMakeFiles/TcpServer_test04_pollout_shutdown.dir/cmake_clean.cmake | CMake        |          9 |          0 |          2 |         11 |
| /home/cxf/Desktop/WebServer/build/net/test/CTestTestfile.cmake                                                | CMake        |          6 |          0 |          1 |          7 |
| /home/cxf/Desktop/WebServer/build/net/test/Makefile                                                           | Makefile     |        264 |         87 |        141 |        492 |
| /home/cxf/Desktop/WebServer/build/net/test/cmake_install.cmake                                                | CMake        |         37 |          0 |          8 |         45 |
| /home/cxf/Desktop/WebServer/function.cpp                                                                      | C++          |         16 |          8 |          4 |         28 |
| /home/cxf/Desktop/WebServer/net/Acceptor.cpp                                                                  | C++          |         43 |         23 |          5 |         71 |
| /home/cxf/Desktop/WebServer/net/Acceptor.h                                                                    | C++          |         27 |          8 |          1 |         36 |
| /home/cxf/Desktop/WebServer/net/AddrStruct.cpp                                                                | C++          |         35 |         18 |          4 |         57 |
| /home/cxf/Desktop/WebServer/net/AddrStruct.h                                                                  | C++          |         29 |         15 |          3 |         47 |
| /home/cxf/Desktop/WebServer/net/Buffer.cpp                                                                    | C++          |         30 |         13 |          1 |         44 |
| /home/cxf/Desktop/WebServer/net/Buffer.h                                                                      | C++          |        161 |         13 |         22 |        196 |
| /home/cxf/Desktop/WebServer/net/Channel.cpp                                                                   | C++          |        115 |         15 |         15 |        145 |
| /home/cxf/Desktop/WebServer/net/Channel.h                                                                     | C++          |         65 |         23 |         21 |        109 |
| /home/cxf/Desktop/WebServer/net/Connection.cpp                                                                | C++          |        224 |         70 |         13 |        307 |
| /home/cxf/Desktop/WebServer/net/Connection.h                                                                  | C++          |         73 |         18 |         11 |        102 |
| /home/cxf/Desktop/WebServer/net/EPoll.cpp                                                                     | C++          |         91 |         18 |          8 |        117 |
| /home/cxf/Desktop/WebServer/net/EPoll.h                                                                       | C++          |         26 |          8 |          8 |         42 |
| /home/cxf/Desktop/WebServer/net/EventLoop.cpp                                                                 | C++          |        142 |         12 |         15 |        169 |
| /home/cxf/Desktop/WebServer/net/EventLoop.h                                                                   | C++          |         54 |         12 |         12 |         78 |
| /home/cxf/Desktop/WebServer/net/EventLoopThread.cpp                                                           | C++          |         38 |         10 |          6 |         54 |
| /home/cxf/Desktop/WebServer/net/EventLoopThread.h                                                             | C++          |         21 |          8 |          7 |         36 |
| /home/cxf/Desktop/WebServer/net/EventLoopThreadPool.cpp                                                       | C++          |         40 |         10 |          4 |         54 |
| /home/cxf/Desktop/WebServer/net/EventLoopThreadPool.h                                                         | C++          |         26 |         12 |          4 |         42 |
| /home/cxf/Desktop/WebServer/net/Socket.cpp                                                                    | C++          |         23 |         12 |          4 |         39 |
| /home/cxf/Desktop/WebServer/net/Socket.h                                                                      | C++          |         18 |          8 |          5 |         31 |
| /home/cxf/Desktop/WebServer/net/SocketOps.cpp                                                                 | C++          |         88 |         21 |         19 |        128 |
| /home/cxf/Desktop/WebServer/net/SocketOps.h                                                                   | C++          |         20 |         26 |          4 |         50 |
| /home/cxf/Desktop/WebServer/net/TcpServer.cpp                                                                 | C++          |         84 |         22 |          5 |        111 |
| /home/cxf/Desktop/WebServer/net/TcpServer.h                                                                   | C++          |         48 |         15 |          6 |         69 |
| /home/cxf/Desktop/WebServer/net/test/Acceptor_test.cpp                                                        | C++          |         15 |         12 |          0 |         27 |
| /home/cxf/Desktop/WebServer/net/test/Epoll_test.cpp                                                           | C++          |         62 |         51 |         12 |        125 |
| /home/cxf/Desktop/WebServer/net/test/EventLoop_test.cpp                                                       | C++          |         21 |         26 |          6 |         53 |
| /home/cxf/Desktop/WebServer/net/test/Netutil_test.cpp                                                         | C++          |         43 |          8 |          1 |         52 |
| /home/cxf/Desktop/WebServer/net/test/Reactor02_test.cpp                                                       | C++          |         29 |          9 |          8 |         46 |
| /home/cxf/Desktop/WebServer/net/test/Socket_test.cpp                                                          | C++          |         22 |         11 |          2 |         35 |
| /home/cxf/Desktop/WebServer/net/test/TcpServer_test01_signleThread.cpp                                        | C++          |         31 |          9 |          2 |         42 |
| /home/cxf/Desktop/WebServer/net/test/TcpServer_test02_EventLoopThreadPool.cpp                                 | C++          |         33 |         20 |          2 |         55 |
| /home/cxf/Desktop/WebServer/net/test/TcpServer_test03_Buffer_send.cpp                                         | C++          |         34 |          9 |          3 |         46 |
| /home/cxf/Desktop/WebServer/net/test/TcpServer_test04_pollout_shutdown.cpp                                    | C++          |         53 |         18 |          7 |         78 |
| Total                                                                                                         |              |      8,601 |      1,861 |      2,050 |     12,512 |
+---------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
